palabra,word,frase,sentence,palabra_alterna
dos,two,Dos manzanas al día mantienen al médico lejos.,Two apples a day keep the doctor away.,
dos,two,Dos cabezas piensan mejor que una.,Two heads are better than one.,
dos,two,Dos minutos más tarde de lo previsto.,Two minutes later than planned.,
dos,two,El dos de febrero es un día importante.,February 2nd is an important day.,
dos,two,Dos por dos son cuatro.,Two times two is four.,
dos,two,Dos puertas más allá.,Two doors down.,
dos,two,Dos líneas paralelas nunca se cruzan.,Two parallel lines never intersect.,
dos,two,Dos tazas de café al día son suficientes.,Two cups of coffee a day are enough.,
dos,two,La suma de dos y dos es igual a cuatro.,Two plus two equals four.,
dos,two,Dos ojos son mejores que uno.,Two eyes are better than one.,
dos,two,Dos a la derecha y dos a la izquierda.,Two to the right and two to the left.,
dos,two,Dos es mejor que nada.,Two is better than nothing.,
también,also,También puedes hacerlo tú.,You can also do it.,
también,too,Yo también lo hice.,I did it too.,
también,also,Él también está aquí.,He's also here.,
también,also,Esta opción también es viable.,This option is also viable.,
también,also,Ella también es una experta en el tema.,She's also an expert on the subject.,
también,too,"No solo él, también ella.","Not just him, but her too.",
también,also,También puedes encontrarlo en la tienda.,You can also find it in the store.,
también,also,"No es solo un problema tuyo, es también el mío.","It's not just your problem, it's also mine.",
también,also,También puedes verlo en la televisión.,You can also see it on television.,
también,also,Ellos también están de acuerdo.,They also agree.,
también,also,También es importante ser amable.,It's also important to be kind.,
también,also,Por qué no también lo hacemos juntos.,Why don't we also do it together.,
fue,was,Fue un día memorable.,It was a memorable day.,
fue,no direct translation,Eso fue lo que dijo.,That's what he said.,
fue,was,La razón fue evidente.,The reason was obvious.,
fue,was,Él fue el primero en llegar.,He was the first one to arrive.,
fue,was,Fue un éxito rotundo.,It was a complete success.,
fue,was,La decisión fue difícil de tomar.,The decision was difficult to make.,
fue,was,Fue un placer conocerte.,It was a pleasure to meet you.,
fue,was,Todo fue según lo planeado.,Everything went according to plan.,
fue,was,Aquella noche fue inolvidable.,That night was unforgettable.,
fue,was,La solución fue sencilla.,The solution was simple.,
fue,was,Fue una sorpresa para todos.,It was a surprise for everyone.,
fue,was,La causa fue desconocida.,The cause was unknown.,
fue,was,La ciudad fue fundada en 1874.,The city was founded in 1874.,
había,no direct translation,Había una vez un reino mágico.,Once upon a time there was a magical kingdom.,
había,no direct translation,Había mucha gente en la fiesta.,There were many people at the party.,
había,no direct translation,La solución había sido fácil.,The solution had been easy.,
había,no direct translation,Había una luz brillante en el cielo.,There was a bright light in the sky.,
había,no direct translation,No había nadie en casa.,There was no one at home.,
había,no direct translation,La habitación había sido remodelada.,The room had been remodeled.,
había,no direct translation,Había un error en el cálculo.,There was an error in the calculation.,
había,no direct translation,No había forma de solucionarlo.,There was no way to solve it.,
había,no direct translation,Había una razón detrás de ello.,There was a reason behind it.,
había,no direct translation,Había un ruido extraño en la noche.,There was a strange noise at night.,
había,no direct translation,Había un olor a pan recién horneado en el aire.,There was a smell of freshly baked bread in the air.,
había,no direct translation,La situación había cambiado drásticamente.,The situation had changed dramatically.,
había,had,En 23 minutos él había anotado 21 puntos.,In 23 minutes he had scored 21 points.,
había,there was,En los escombros ese día había un libro.,In the rubble that day there was a book.,
había,there were,Había una serie de problemas con esta lógica.,There were a number of problems with this logic.,
era,was,Era un día hermoso.,It was a beautiful day.,
era,was,La respuesta era simple.,The answer was simple.,
era,was,Era un misterio sin resolver.,It was an unsolved mystery.,
era,was,Era un gran problema.,It was a big problem.,
era,was,La situación era tensa.,The situation was tense.,
era,was,Era el mejor día de mi vida.,It was the best day of my life.,
era,was,Era una decisión difícil.,It was a difficult decision.,
era,was,Era una oportunidad única.,It was a unique opportunity.,
era,was,Era una gran sorpresa.,It was a great surprise.,
era,was,Era un sueño hecho realidad.,It was a dream come true.,
era,was,Era el primer paso hacia el éxito.,It was the first step towards success.,
era,was,Era una pregunta interesante.,It was an interesting question.,
era,was,El libro era muy popular.,The book was very popular.,
era,I was being,Era bueno contigo porque es mi trabajo.,I was being nice to you because it is my job.,
muy,very,Estoy muy ocupado hoy.,I am very busy today.,
muy,very,Es muy importante recordar esto.,It is very important to remember this.,
muy,very,El tiempo está muy bueno hoy.,The weather is very good today.,
muy,very,Ella es muy talentosa.,She is very talented.,
muy,very,Este libro es muy interesante.,This book is very interesting.,
muy,very,Él es muy divertido de estar alrededor.,He is very fun to be around.,
muy,very,Esta comida es muy sabrosa.,This food is very tasty.,
muy,very,El examen fue muy difícil.,The exam was very difficult.,
muy,very,La película fue muy emocionante.,The movie was very exciting.,
muy,very,La presentación fue muy impresionante.,The presentation was very impressive.,
muy,very,La naturaleza es muy hermosa aquí.,The nature is very beautiful here.,
muy,very,"El viaje fue muy largo, pero valió la pena.","The trip was very long, but it was worth it.",
año,year,Este año voy a viajar alrededor del mundo.,This year I am traveling around the world.,
año,year,"El año pasado, gané un premio.","Last year, I won an award.",
año,year,"Durante el año, las hojas caen de los árboles.","During the year, the leaves fall from the trees.",
año,year,"En mi año de graduación, recibí muchos regalos.","In my graduation year, I received many gifts.",
año,year,Un año tiene 365 días.,A year has 365 days.,
año,year,El año nuevo se celebra en todo el mundo.,New Year is celebrated worldwide.,
año,year,Los niños van a la escuela un año tras otro.,Children go to school one year after another.,
